psoda,pfries,pentree,wagest,nmgrs,nregs,hrsopen,emp,psoda2,pfries2,pentree2,wagest2,nmgrs2,nregs2,hrsopen2,emp2,compown,chain,density,crmrte,state,prpblck,prppov,prpncar,hseval,nstores,income,county,lpsoda,lpfries,lhseval,lincome,ldensity,NJ,BK,KFC,RR
1.12,1.0599999,1.02,4.25,3,5,16,27.5,1.11,1.11,1.05,5.0500002,5,5,15,27,1,3,4030,.052886602,1,.1711542,.036578901,.078842796,148300,3,44534,18,.11332869,.058268853,11.906993,10.704008,8.3015213,1,0,0,1
1.0599999,.91000003,.94999999,4.75,3,3,16.5,21.5,1.05,.88999999,.94999999,5.0500002,4,3,17.5,24.5,0,1,4030,.052886602,1,.1711542,.036578901,.078842796,148300,3,44534,18,.058268853,-.094310649,11.906993,10.704008,8.3015213,1,1,0,0
1.0599999,.91000003,.98000002,4.25,3,5,18,30,1.05,.94,.98000002,5.0500002,4,5,17.5,25,0,1,11400,.0360003,1,.0473602,.087907203,.2694298,169200,3,41164,12,.058268853,-.094310649,12.038836,10.625319,9.3413687,1,1,0,0
1.12,1.02,1.0599999,5,4,5,16,27.5,1.15,1.05,1.05,5.0500002,4,5,16,,0,3,8345,.048423201,1,.052839398,.0591227,.1366903,171600,3,50366,10,.11332869,.019802609,12.052921,10.827071,9.029418,1,0,0,1
1.12,,.49000001,5,3,3,16,5,1.04,1.01,.57999998,5.0500002,3,3,16,12,0,1,720,.061588999,1,.034480002,.0254145,.073802002,249100,1,72287,10,.11332869,,12.42561,11.188399,6.5792513,1,1,0,0
1.0599999,.94999999,1.01,4.25,4,4,15,17.5,1.05,.94,1,5.0500002,3,4,15,28,0,1,4424,.033482298,1,.059132699,.083500102,.1151341,148000,2,44515,18,.058268853,-.051293306,11.904967,10.703582,8.3947992,1,1,0,0
1.17,.94999999,.94999999,4.6500001,3,2,16,22.5,1.05,.94,.94,5.0500002,3,2,16,18.5,0,1,2678,.031029601,1,.0186773,.029234899,.050185401,212700,1,62056,10,.15700372,-.051293306,12.267638,11.035792,7.8928256,1,1,0,0
1.17,1.02,1.0599999,4.5,3,5,17,18.5,1.11,1.0599999,1.05,5.0500002,3,5,16,17,1,3,6405,.041900098,1,.0049060001,.033759899,.082710497,198800,1,53655,24,.15700372,.019802609,12.200054,10.89033,8.7648344,1,0,0,1
1.1799999,1.02,1.0599999,,4,4,17,17,1.1,1.01,.99000001,5.0500002,4,4,18,34,0,1,18388,.094545402,1,.92105591,.2036816,.391949,103800,5,31314,10,.16551439,.019802609,11.550221,10.351821,9.8194532,1,1,0,0
1.17,1.12,1.02,4.25,3,5,18,27,1.11,1.12,1.05,5.0500002,6,5,17,22,1,3,18388,.094545402,1,.92105591,.2036816,.391949,103800,5,31314,10,.15700372,.11332869,11.550221,10.351821,9.8194532,1,0,0,1
1.0599999,1.02,2.3399999,4.75,3,5,12,11,1.05,1.05,2.3199999,5.0500002,5,5,12,32.5,1,2,18388,.094545402,1,.92105591,.2036816,.391949,103800,5,31314,10,.058268853,.019802609,11.550221,10.351821,9.8194532,1,0,1,0
1.0599999,1.05,1.0599999,4.5,4,2,15.5,20,1.11,1.09,2.0699999,5.0500002,4,2,15.5,20,0,4,18388,.094545402,1,.92105591,.2036816,.391949,103800,5,31314,10,.058268853,.04879012,11.550221,10.351821,9.8194532,1,0,0,0
1.05,.94999999,2.74,4.25,3,5,13.5,17,1.05,.83999997,2.3199999,5.0500002,2,5,12.5,9.5,0,2,11401,.14823,1,.92105591,.2036816,.391949,103800,5,31314,10,.04879012,-.051293306,11.550221,10.351821,9.3414564,1,0,1,0
1.17,1.0599999,1.17,4.3499999,4,,15,7.5,,,,,0,,,0,1,1,12627,.0304465,1,.0139109,.084539898,.2272727,191300,1,38569,2,.15700372,.058268853,12.161598,10.560205,9.443593,1,1,0,0
1.15,.94999999,.94999999,4.5,2,2,16,8,1.16,1.01,1.05,5.0500002,2,2,16,8,0,1,12799,.037534799,1,.0102124,.0598162,.1416858,282800,2,60657,2,.13976192,-.051293306,12.552495,11.01299,9.4571218,1,1,0,0
1.27,1.17,1.1,5,4,4,16.5,20,1.37,1.16,1.16,5.0500002,5,4,16.5,22.5,0,1,12799,.037534799,1,.0102124,.0598162,.1416858,282800,2,60657,2,.23901689,.15700372,12.552495,11.01299,9.4571218,1,1,0,0
1.0599999,.91000003,.98000002,5.5599999,4,5,16,37.5,1.01,.94,.94,5.0500002,4,5,16,20,0,1,6039,.031700999,1,.0060903998,.038650699,.0757396,167700,2,47891,28,.058268853,-.094310649,12.029932,10.776683,8.7059937,1,1,0,0
1.0599999,.98000002,1.0599999,4.6199999,3,2,12.5,16.5,1.05,.88999999,2.1099999,5.1399999,3,2,12.5,22,0,4,11187,.050875202,1,.0035406,.1118771,.2258587,138000,1,36705,12,.058268853,-.020202687,11.835009,10.510668,9.3225079,1,0,0,0
1.0599999,.91000003,.98000002,4.25,5,4,16,24,1.05,.89999998,1.04,5.0500002,4,4,16,19,0,1,3750,.0607903,1,.0104519,.060848899,.1745955,166500,1,43022,12,.058268853,-.094310649,12.022751,10.669467,8.2295113,1,1,0,0
1.2,1.02,1.02,5.5,3,5,13.5,19,1.11,1.11,1.05,5.0500002,4,5,13,14,0,3,1901,.034010999,1,.0073866001,.0135908,.0190736,245400,3,79025,10,.18232159,.019802609,12.410645,11.277519,7.5501351,1,0,0,1
.94999999,.94999999,1.0599999,4.5,3,4,13.5,23,1.01,.94,.94,5.5,3,4,13.5,27.5,0,1,1901,.034010999,1,.0073866001,.0135908,.0190736,245400,3,79025,10,-.051293306,-.051293306,12.410645,11.277519,7.5501351,1,1,0,0
1.11,.94999999,1.01,4.25,4,2,16,17.5,.94,.94,1,5.0500002,4,2,15.5,17.5,0,1,5413,.051865902,1,.120063,.032298699,.073536903,198800,1,65296,10,.10436003,-.051293306,12.200054,11.086686,8.5965586,1,1,0,0
1.02,1.02,.94999999,,3,3,16,,.89999998,.94999999,.94999999,5.0500002,4,3,16,19,0,1,6085,.055474602,1,.4336102,.076527499,.150848,245900,1,56893,10,.019802609,.019802609,12.412681,10.948928,8.713582,1,1,0,0
1.0599999,.98000002,1.0599999,5,3,,14,17,1.11,1.09,2.0699999,5.0500002,6,,12.5,17.5,0,4,8966,.052732699,1,.022127001,.092750497,.23658679,173500,3,40719,12,.058268853,-.020202687,12.063932,10.61445,9.1011953,1,0,0,0
1.27,1.01,1.0599999,4.25,4,3,17,21,1.37,1.02,1.05,5.0500002,5,3,17,23,0,1,8966,.052732699,1,.022127001,.092750497,.23658679,173500,3,40719,12,.23901689,.0099503212,12.063932,10.61445,9.1011953,1,1,0,0
1.17,.94999999,.85000002,4.75,6,2,16,16,1.37,.94999999,2.03,5.0500002,6,2,16,17,0,4,13602,.1087385,1,.69636512,.1611239,.26042259,119300,1,33306,10,.15700372,-.051293306,11.689397,10.413493,9.517972,1,0,0,0
